source,target,time_fps
fly3,fly8,0
fly12,fly6,0
fly6,fly9,0
fly4,fly8,3
fly12,fly9,8
fly3,fly11,15
fly12,fly1,17
fly11,fly3,27
fly12,fly1,36
fly4,fly11,46
fly1,fly6,48
fly6,fly1,52
fly11,fly4,57
fly1,fly9,69
fly6,fly9,70
fly9,fly1,72
fly12,fly9,81
fly6,fly12,90
fly4,fly3,123
fly3,fly4,128
fly6,fly12,131
fly6,fly9,132
fly9,fly12,134
fly12,fly6,143
fly9,fly6,181
fly12,fly9,183
fly7,fly4,231
fly10,fly11,242
fly11,fly10,259
fly1,fly6,265
fly3,fly4,336
fly2,fly10,348
fly8,fly1,349
fly8,fly1,382
fly8,fly6,392
fly12,fly10,395
fly11,fly1,409
fly1,fly11,411
fly4,fly3,429
fly1,fly11,447
fly1,fly6,447
fly9,fly2,450
fly6,fly11,481
fly5,fly8,501
fly11,fly6,543
fly6,fly11,545
fly2,fly9,589
fly4,fly7,634
fly1,fly8,687
fly4,fly7,698
fly7,fly3,700
fly8,fly5,705
fly1,fly11,737
fly2,fly9,760
fly8,fly9,782
fly10,fly7,782
fly9,fly8,790
fly6,fly7,800
fly7,fly6,807
fly5,fly11,807
fly11,fly5,807
fly2,fly8,819
fly5,fly9,822
fly11,fly9,828
fly6,fly7,880
fly9,fly8,888
fly5,fly1,910
fly2,fly9,916
fly7,fly6,924
fly9,fly2,944
fly10,fly9,974
fly9,fly10,978
fly10,fly2,981
fly5,fly1,982
fly1,fly11,1004
fly2,fly5,1015
fly9,fly10,1015
fly6,fly7,1023
fly5,fly2,1027
fly5,fly1,1033
fly1,fly2,1034
fly7,fly6,1038
fly10,fly1,1044
fly6,fly7,1049
fly8,fly7,1063
fly7,fly8,1064
fly9,fly10,1093
fly7,fly6,1093
fly11,fly2,1111
fly7,fly2,1123
fly11,fly7,1128
fly10,fly9,1133
fly7,fly11,1165
fly5,fly7,1188
fly5,fly9,1195
fly1,fly5,1202
fly1,fly7,1202
fly1,fly9,1202
fly9,fly5,1205
fly7,fly1,1213
fly10,fly5,1218
fly9,fly10,1220
fly5,fly10,1223
fly10,fly9,1223
fly11,fly7,1259
fly8,fly12,1265
fly7,fly11,1269
fly2,fly6,1282
fly2,fly7,1284
fly12,fly8,1292
fly1,fly11,1301
fly11,fly9,1304
fly10,fly11,1333
fly11,fly10,1341
fly5,fly11,1364
fly5,fly1,1367
fly1,fly5,1371
fly11,fly5,1374
fly12,fly2,1391
fly6,fly10,1394
fly2,fly12,1395
fly4,fly3,1410
fly12,fly2,1420
fly11,fly5,1424
fly1,fly11,1442
fly5,fly10,1475
fly11,fly1,1478
fly1,fly6,1497
fly6,fly1,1511
fly1,fly5,1523
fly11,fly8,1553
fly8,fly11,1572
fly6,fly8,1624
fly8,fly6,1624
fly4,fly3,1627
fly9,fly12,1631
fly12,fly9,1631
fly7,fly12,1637
fly3,fly4,1654
fly10,fly1,1665
fly6,fly8,1670
fly7,fly5,1683
fly9,fly5,1684
fly5,fly7,1690
fly9,fly12,1699
fly10,fly1,1702
fly12,fly5,1707
fly5,fly12,1710
fly5,fly9,1712
fly9,fly5,1712
fly12,fly9,1723
fly4,fly2,1753
fly9,fly12,1805
fly10,fly5,1806
fly3,fly5,1815
fly5,fly3,1815
fly11,fly2,1816
fly2,fly11,1820
fly8,fly7,1839
fly7,fly8,1841
fly4,fly10,1879
fly4,fly11,1891
fly4,fly10,1923
fly9,fly1,1933
fly11,fly4,1936
fly12,fly1,1961
fly9,fly1,1968
fly7,fly10,2010
fly10,fly7,2010
fly6,fly2,2011
fly12,fly1,2014
fly2,fly6,2040
fly6,fly2,2045
fly6,fly5,2082
fly5,fly6,2101
fly8,fly10,2112
fly10,fly1,2147
fly10,fly8,2198
fly1,fly8,2212
fly8,fly10,2212
fly12,fly11,2223
fly11,fly12,2223
fly8,fly1,2225
fly12,fly11,2243
fly5,fly2,2285
fly3,fly4,2287
fly3,fly1,2318
fly10,fly9,2322
fly10,fly12,2324
fly9,fly12,2327
fly8,fly7,2330
fly7,fly8,2330
fly5,fly2,2331
fly2,fly5,2396
fly10,fly11,2399
fly11,fly10,2440
fly11,fly5,2464
fly11,fly5,2502
fly10,fly5,2523
fly1,fly7,2544
fly5,fly10,2595
fly10,fly5,2626
fly4,fly7,2634
fly5,fly11,2642
fly11,fly5,2672
fly8,fly10,2684
fly5,fly6,2712
fly6,fly5,2712
fly6,fly5,2735
fly10,fly5,2759
fly8,fly12,2798
fly3,fly10,2823
fly7,fly1,2942
fly9,fly3,2962
fly3,fly9,2977
fly2,fly4,2984
fly12,fly8,3007
fly11,fly2,3020
fly11,fly6,3044
fly2,fly6,3044
fly9,fly12,3048
fly11,fly2,3063
fly12,fly9,3076
fly9,fly12,3077
fly2,fly11,3078
fly3,fly8,3081
fly11,fly6,3094
fly8,fly3,3110
fly7,fly8,3132
fly7,fly5,3157
fly7,fly8,3164
fly2,fly9,3195
fly5,fly3,3195
fly3,fly5,3203
fly8,fly7,3209
fly7,fly8,3212
fly3,fly5,3222
fly7,fly8,3233
fly12,fly2,3267
fly11,fly9,3275
fly5,fly10,3275
fly9,fly11,3276
fly3,fly10,3280
fly10,fly3,3280
fly2,fly12,3293
fly5,fly2,3305
fly7,fly3,3332
fly5,fly7,3340
fly7,fly5,3354
fly7,fly2,3354
fly2,fly7,3361
fly12,fly7,3363
fly7,fly12,3364
fly9,fly6,3383
fly5,fly2,3384
fly12,fly11,3384
fly7,fly11,3397
fly5,fly11,3403
fly11,fly7,3416
fly12,fly5,3418
fly5,fly7,3420
fly3,fly11,3423
fly5,fly12,3441
fly6,fly9,3479
fly3,fly11,3485
fly8,fly3,3487
fly2,fly12,3519
fly1,fly12,3537
fly2,fly1,3544
fly1,fly2,3545
fly12,fly1,3545
fly7,fly10,3564
fly4,fly6,3565
fly6,fly4,3580
fly8,fly11,3582
fly5,fly9,3591
fly7,fly10,3604
fly3,fly2,3606
fly5,fly4,3607
fly9,fly5,3615
fly2,fly1,3615
fly10,fly7,3631
fly2,fly3,3635
fly6,fly5,3648
fly11,fly3,3654
fly1,fly3,3655
fly7,fly10,3659
fly4,fly5,3662
fly1,fly11,3692
fly10,fly12,3713
fly7,fly9,3790
fly5,fly1,3801
fly1,fly5,3803
fly9,fly4,3830
fly11,fly5,3834
fly5,fly11,3838
fly12,fly9,3858
fly12,fly4,3868
fly12,fly9,3908
fly6,fly12,3938
fly4,fly12,3940
fly4,fly9,3949
fly12,fly4,3950
fly8,fly12,3997
fly12,fly8,3997
fly6,fly9,4027
fly11,fly2,4040
fly8,fly6,4047
fly8,fly9,4052
fly7,fly5,4054
fly5,fly7,4077
fly9,fly6,4079
fly9,fly8,4082
fly11,fly2,4083
fly9,fly11,4102
fly11,fly8,4127
fly8,fly6,4142
fly7,fly5,4168
fly6,fly8,4174
fly9,fly2,4180
fly11,fly6,4185
fly7,fly5,4229
fly6,fly8,4230
fly5,fly7,4241
fly7,fly1,4283
fly8,fly6,4288
fly6,fly8,4303
fly11,fly2,4323
fly8,fly2,4331
fly9,fly6,4362
fly6,fly9,4363
fly1,fly7,4365
fly11,fly8,4371
fly6,fly9,4391
fly8,fly2,4398
fly7,fly1,4408
fly11,fly8,4414
fly11,fly2,4429
fly2,fly8,4437
fly6,fly12,4460
fly7,fly1,4460
